numberIndividuals;cxpb;mtpb;numberGenerations;accelerator;bestEq;bestMetric;
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sub(atan(sqrt(cos(sub(sub(sub(pow(sqrt(Bx_1d_4), sub(atan(sub(mul(sub(atan(By_1d_3), temperature_carrington_1), sqrt(By_carrington_3)), log(By_1d_3))), Bt_1d_2)), asin(atan(sub(log10(Bt_carrington_4), log(By_1d_3))))), log(tan(atan(Bz_1d_3)))), log(mul(sub(atan(sin(sub(atan(mul(Bz_1d_2, Bt_1d_1)), Bz_carrington_3))), Bt_carrington_4), sqrt(By_carrington_3))))))), Bt_1d_2), atan(Bt_1d_2))), p_density_carrington_1));(22.717653671098596,);
